Date,Adj Close,Close,High,Low,Open,Volume
2023-05-24,78.42827606,81.20999908,82.59999847,80.87999725,82.16500092,17045800
2023-05-25,76.08151245,78.77999878,80.70999908,78.12000275,80.58999634,21811600
2023-05-26,78.19651031,80.97000122,81.56600189,78.40000153,79.90000153,16399200
2023-05-30,75.97528076,78.66999817,80.69999695,78.16999817,80.12000275,21209600
2023-05-31,76.82514191,79.55000305,79.66500092,77.76999664,79.58000183,16206300
2023-06-01,80.15696716,83,84,79.34999847,79.34999847,23217600
2023-06-02,81.383461,84.26999664,86.02999878,84.13999939,85.08000183,17574200
2023-06-05,81.50901031,84.40000153,84.56999969,83.23999786,83.98999786,8204000
2023-06-06,83.73023224,86.69999695,87.05999756,83.37000275,83.5,18452000
2023-06-07,82.35887146,85.27999878,86.94999695,85.08999634,85.72000122,12886700
2023-06-08,83.18941498,86.13999939,86.94999695,85.16999817,85.16999817,11281000
2023-06-09,82.57133484,85.5,86.83799744,85.06500244,86.05999756,12882700
2023-06-12,82.91900635,85.86000061,87.29000092,85.62999725,86.01000214,11559000
2023-06-13,84.51248932,87.51000214,89.22000122,87.25,87.95999908,16814100
2023-06-14,86.29911804,89.36000061,90.12000275,87.70999908,87.97000122,21519300
2023-06-15,89.04183197,92.19999695,92.76999664,90.59999847,91.45999908,26570500
2023-06-16,88.94525909,92.09999847,94.29000092,91.51999664,94,25048200
2023-06-20,84.91809845,87.93000031,90.19999695,87.31999969,89.83000183,23382900
2023-06-21,83.79782867,86.76999664,89.16000366,86.62000275,87.37999725,15159900
2023-06-22,83.91371918,86.88999939,87.31500244,85.31999969,86.77999878,10272700
2023-06-23,82.01119995,84.91999817,85.93800354,84.37000275,85.80999756,14830800
2023-06-26,82.54236603,85.47000122,86.70999908,85.20999908,85.31999969,10808700
2023-06-27,84.14550018,87.12999725,87.61499786,86.71499634,86.81999969,13994500
2023-06-28,81.69250488,84.58999634,85.75,84.37999725,85.75,14113800
2023-06-29,80.68813324,83.55000305,83.98999786,83,83.38999939,13362500
2023-06-30,80.49497986,83.34999847,84.23000336,83.01000214,83.23000336,12154300
2023-07-03,81.19031525,84.06999969,85.63500214,84,84.87000275,11514400
2023-07-05,81.41244507,84.30000305,84.69000244,82.81999969,83.98000336,11203900
2023-07-06,80.96819305,83.83999634,83.94999695,82.63999939,83.12000275,12930300
2023-07-07,87.44835663,90.55000305,91.56999969,86.62999725,86.76000214,46815900
2023-07-10,87.45801544,90.55999756,92.04000092,89.59999847,90.05000305,25401800
2023-07-11,88.64588165,91.79000092,92.31999969,89.01000214,91.01999664,20768800
2023-07-12,90.78018188,94,95.02999878,92.55000305,94.11000061,24161400
2023-07-13,93.30078125,96.61000061,97.00499725,94.59999847,95.02999878,24021400
2023-07-14,91.32099915,94.55999756,96.08999634,94.23999786,95.22000122,18870000
2023-07-17,90.21039581,93.41000366,93.55000305,91.04000092,92.25,17317300
2023-07-18,88.07608795,91.19999695,92.20999908,90.15000153,91.54000092,20249700
2023-07-19,88.93560791,92.08999634,94.70999908,92.08999634,93.56999969,17228100
2023-07-20,88.75211334,91.90000153,93.12000275,91.34999847,91.69000244,14753000
2023-07-21,89.01287079,92.16999817,93.23000336,91.54000092,92.88999939,13882900
2023-07-24,93.04968262,96.34999847,97.46900177,91.30000305,92.06999969,33376100
2023-07-25,91.72661591,94.98000336,98.48999786,94.61000061,98.16999817,25827300
2023-07-26,93.8126297,97.13999939,97.54499817,94.83999634,94.94999695,15833400
2023-07-27,92.17086029,95.44000244,97.98999786,95.16100311,97.75,18685500
2023-07-28,97.10582733,100.5500031,101.2200012,97.95999908,98.06999969,31956500
2023-07-31,98.66067505,102.1600037,102.5,99.72000122,99.79000092,17726500
2023-08-01,96.67124176,100.0999985,101.1600037,99.30000305,99.87000275,14333700
